di              {'PF:di', '-VAL', '-SPEC:T/fin', '-SPEC:v', '!COMP:*', '-SPEC:ADV', '-COMP:T', 'PHON', 'PHI:PER:_', 'LANG:FI', 'SPEC:*', '-SPEC:Neg/fin', '-SPEC:P', '-COMP:uWH', 'COMP:φ', '-SPEC:V', '-SPEC:iR', '-SPEC:T/prt', 'PHI:GEN:_', 'LF:of', '-SPEC:N', 'PHI:DET:_', '-adjoinable', '-SPEC:iWH', '-COMP:T/fin', 'ARG', '-COMP:N', '-SPEC:C', '-SPEC:C/fin', 'PHI:NUM:_', 'P', '-COMP:ADV', '-COMP:A', '-SPEC:FORCE'}
does            {'PHI:GEN:M', 'SPEC:TO/inf', 'VAL', '-SPEC:T/fin', 'PHI:NUM:SG', '!COMP:*', '-SPEC:v', 'T', 'SPEC:φ', 'PHON', 'T/fin', 'COMP:V', '!PROBE:V', 'PHI:GEN:F', 'PHI:GEN:_', 'SPEC:C/fin', '-COMP:T/fin', '-COMP:INF', 'FIN', 'PHI:NUM:_', 'PF:does', 'COMP:Neg', 'COMP:v', 'SPEC:T/prt', 'PHI:PER:3', 'PHI:PER:_', 'LANG:EN', 'SPEC:*', '-SPEC:V', 'SPEC:FORCE', '-SPEC:TO/inf', 'PHI:DET:_', '-SPEC:N', '-adjoinable', '!SPEC:*', '-SPEC:Neg', 'ARG', '-SPEC:C', 'LF:does'}
does            {'PHON', 'LANG:EN'}
does_T          {'PHI:GEN:M', 'SPEC:TO/inf', 'VAL', '-SPEC:T/fin', 'PHI:NUM:SG', '!COMP:*', '-SPEC:v', 'T', 'SPEC:φ', 'PHON', 'T/fin', 'COMP:V', '!PROBE:V', 'PHI:GEN:F', 'PHI:GEN:_', 'SPEC:C/fin', '-COMP:T/fin', '-COMP:INF', 'FIN', 'PHI:NUM:_', 'PF:does', 'COMP:Neg', 'COMP:v', 'SPEC:T/prt', 'PHI:PER:3', 'PHI:PER:_', 'LANG:EN', 'SPEC:*', '-SPEC:V', 'SPEC:FORCE', '-SPEC:TO/inf', 'PHI:DET:_', '-SPEC:N', '-adjoinable', '!SPEC:*', '-SPEC:Neg', 'ARG', '-SPEC:C', 'LF:does'}
does-           {'PHI:GEN:M', 'SPEC:TO/inf', 'VAL', '-SPEC:T/fin', 'PHI:NUM:SG', '!COMP:*', '-SPEC:v', 'T', 'SPEC:φ', 'PHON', 'T/fin', 'COMP:V', '!PROBE:V', 'PHI:GEN:F', 'PHI:GEN:_', 'SPEC:C/fin', '-COMP:T/fin', '-COMP:INF', 'FIN', 'PHI:NUM:_', 'PF:does', 'COMP:Neg', 'COMP:v', 'SPEC:T/prt', 'PHI:PER:3', 'PHI:PER:_', 'LANG:EN', 'SPEC:*', '-SPEC:V', 'SPEC:FORCE', '-SPEC:TO/inf', 'PHI:DET:_', '-SPEC:N', '-adjoinable', '!SPEC:*', '-SPEC:Neg', 'ARG', '-SPEC:C', 'LF:does'}
dorme           {'PHON', 'LANG:IT'}
dorme-          {'COMP:P', 'PF:dorme', '-VAL', 'CLASS:INTR', 'SPEC:TO/inf', 'V', '-SPEC:T/fin', '-COMP:MA/inf', 'ASP', 'SPEC:φ', 'PHON', 'PHI:PER:_', 'LANG:EN', 'SPEC:ADV', 'SPEC:P', '-SPEC:P', '-COMP:φ', 'PHI:GEN:_', '-COMP:v', 'PHI:DET:_', 'ARG', 'LF:sleep', '-COMP:N', '-COMP:V', '!SPEC:φ', 'PHI:NUM:_', '-SPEC:FORCE'}
disappeared     {'PHON', 'LANG:EN'}
disappear-      {'COMP:P', '-VAL', 'SPEC:TO/inf', 'CLASS:INTR', '-COMP:MA/inf', 'V', '-SPEC:T/fin', 'ASP', 'SPEC:φ', 'PHON', 'PHI:PER:_', 'LANG:EN', 'PF:disappear', 'SPEC:ADV', 'SPEC:P', '-SPEC:P', '-COMP:φ', 'PHI:GEN:_', 'LF:disappear', '-COMP:v', 'PHI:DET:_', 'ARG', '-COMP:N', '-COMP:V', 'PHI:NUM:_', '-SPEC:FORCE'}
e               {'PHON', 'LANG:IT'}
easy            {'PHON', 'LANG:EN'}
easy-           {'-COMP:φ', 'LF:easy', '0', 'SPEC:φ', 'PHON', 'PF:easy', '2SPEC', 'LANG:EN'}
en              {'PHON', 'LANG:FI'}
et              {'PHON', 'LANG:FI'}
ei              {'PHON', 'LANG:FI'}
emme            {'PHON', 'LANG:FI'}
ette            {'PHON', 'LANG:FI'}
eivat           {'PHON', 'LANG:FI'}
ei'             {'-SPEC:T', 'POL:NEG', 'VAL', '-SPEC:T/fin', '!COMP:*', 'NEG', 'PHON', 'PHI:PER:_', 'LANG:FI', 'SPEC:*', 'PF:ei', 'PHI:GEN:_', '!COMP:T', 'PHI:DET:_', 'SEM:internal', '!SPEC:*', 'ARG', '-COMP:T/fin', 'LF:neg', 'FIN', '%SPEC:INF', 'Neg/fin', 'COMP:T/prt', 'PHI:NUM:_'}
e-              {'-SPEC:T', 'POL:NEG', 'VAL', '-SPEC:T/fin', '!COMP:*', 'NEG', 'PHON', 'PHI:PER:_', 'LANG:FI', 'SPEC:*', 'PF:ei', 'PHI:GEN:_', '!COMP:T', 'PHI:DET:_', 'SEM:internal', '!SPEC:*', 'ARG', '-COMP:T/fin', 'LF:neg', 'FIN', '%SPEC:INF', 'Neg/fin', 'COMP:T/prt', 'PHI:NUM:_'}
elaa            {'PHON', 'LANG:FI'}
ela-            {'COMP:P', '-VAL', 'SPEC:TO/inf', 'CLASS:INTR', '-COMP:MA/inf', 'V', '-SPEC:T/fin', 'ASP', 'SPEC:φ', 'PHON', 'PHI:PER:_', 'LANG:FI', 'SPEC:ADV', 'SPEC:P', '-SPEC:P', '-COMP:φ', 'PHI:GEN:_', 'PF:elaa', '-COMP:v', 'PHI:DET:_', 'LF:live', 'ARG', '-COMP:N', '-COMP:V', 'PHI:NUM:_', '-SPEC:FORCE'}
etsii           {'PHON', 'LANG:FI'}
etsi-           {'COMP:P', '-VAL', 'SPEC:TO/inf', 'V', '-SPEC:T/fin', '!COMP:*', 'ASP', 'PHON', 'PHI:PER:_', 'LANG:FI', 'SPEC:ADV', 'CLASS:TR', 'SPEC:P', 'COMP:φ', 'PHI:GEN:_', '!COMP:φ', '-COMP:v', 'PHI:DET:_', '-COMP:P', 'PF:etsi', 'LF:search', 'ARG', '-COMP:N', '-COMP:V', 'PHI:NUM:_', '-SPEC:FORCE'}
etta            {'-ARG', '-VAL', 'FORCE', 'COMP:C/fin', '-SPEC:*', '!PROBE:FIN', '!COMP:*', 'REF', 'LF:that', 'PHON', '-SPEC:φ', 'FIN', 'LANG:FI', 'PF:etta', 'COMP:T/fin'}
että            {'-ARG', '-VAL', 'FORCE', 'COMP:C/fin', '-SPEC:*', '!PROBE:FIN', '!COMP:*', 'REF', 'LF:that', 'PHON', '-SPEC:φ', 'FIN', 'LANG:FI', 'COMP:T/fin', 'PF:että'}
fell            {'PHON', 'LANG:EN'}
fell-           {'COMP:P', '-VAL', 'SPEC:TO/inf', 'CLASS:INTR', '-COMP:MA/inf', 'V', '-SPEC:T/fin', 'LF:fell', 'ASP', 'SPEC:φ', 'PHON', 'PHI:PER:_', 'LANG:EN', 'SPEC:ADV', 'PF:fell', 'SPEC:P', '-SPEC:P', '-COMP:φ', 'PHI:GEN:_', '-COMP:v', 'PHI:DET:_', 'ARG', '-COMP:N', '-COMP:V', '!SPEC:φ', 'PHI:NUM:_', '-SPEC:FORCE'}
flow'           {'COMP:P', '-VAL', 'SPEC:TO/inf', 'V', '-SPEC:T/fin', 'PF:flow', 'ASP', 'SPEC:φ', 'PHON', 'PHI:PER:_', 'LANG:EN', 'SPEC:ADV', 'SPEC:P', 'LF:flow', 'PHI:GEN:_', '-COMP:v', 'PHI:DET:_', 'ARG', '-COMP:N', '-COMP:V', 'PHI:NUM:_', '-SPEC:FORCE'}
from            {'-SPEC:*', '-SPEC:T/fin', '-SPEC:v', '!COMP:*', 'PHON', '-SPEC:Neg/fin', '-COMP:uWH', '-SPEC:iR', '-SPEC:T/prt', 'adjoinable', 'LF:from', 'PHI:GEN:_', '-SPEC:iWH', '-COMP:T/fin', 'PHI:NUM:_', 'P', '-COMP:ADV', '-VAL', 'TAIL:V,+SEM:directional', '-SPEC:ADV', 'PF:from', 'PHI:PER:_', 'LANG:EN', '-SPEC:P', 'COMP:φ', '-SPEC:V', 'PHI:DET:_', '-SPEC:N', '-float', 'ARG', '-COMP:N', '-SPEC:C', '-SPEC:C/fin', '-COMP:T', '-COMP:A', '-SPEC:FORCE'}
gave            {'PHON', 'LANG:EN'}
give-           {'PF:give', 'COMP:P', '-VAL', 'SPEC:TO/inf', 'V', '-SPEC:T/fin', '-COMP:FIN', '!COMP:*', 'ASP', 'SPEC:φ', 'PHON', 'PHI:PER:_', 'LANG:EN', 'SPEC:ADV', 'SPEC:P', '+SEM:directional', 'COMP:φ', 'PHI:GEN:_', '-COMP:v', 'PHI:DET:_', 'LF:give', 'ARG', '-COMP:N', '-COMP:V', 'PHI:NUM:_', 'CLASS:DITR', '-SPEC:FORCE'}
Giuseppe        {'PHON', 'LANG:IT'}
Giuseppe-       {'COMP:uR', 'COMP:P', '-SPEC:T/fin', 'LANG:IT', 'PHON', '-COMP:VA/inf', '-COMP:WH', '-COMP:D', '-COMP:φ', 'COMP:R', '-COMP:C/fin', 'LF:Giuseppe', '-COMP:T/fin', 'COMP:C', '-COMP:INF', 'R:REF:PROPER_NAME', '-COMP:V', '-SPEC:R', 'COMP:D/rel', '-SPEC:ADV', 'SPEC:A', 'N', '-COMP:AUX', 'PF:Giuseppe', '-SPEC:P', '-SPEC:V', '-SEM:directional', '-SPEC:uWH', '-COMP:v', '-SPEC:N', 'COMP:R/D', 'COMP:T/prt', '-COMP:N', '-SPEC:C/fin', '-COMP:A', '-SPEC:FORCE'}
haluaa          {'PHON', 'LANG:FI'}
halusi          {'PHON', 'LANG:FI'}
halusimme       {'PHON', 'LANG:FI'}
haluan          {'PHON', 'LANG:FI'}
halua           {'PHON', 'LANG:FI'}
haluamalla      {'PHON', 'LANG:FI'}
haluttiin       {'PHON', 'LANG:FI'}
haluttu         {'PHON', 'LANG:FI'}
halua-          {'COMP:P', '-VAL', 'SPEC:TO/inf', '-SPEC:*', 'V', '-SPEC:T/fin', '!COMP:*', 'ASP', 'ASP:BOUNDED', 'PHON', 'PHI:PER:_', 'LANG:FI', 'SPEC:ADV', 'CLASS:TR', 'SPEC:P', 'COMP:φ', 'LF:want', 'COMP:A/inf', 'PHI:GEN:_', '-COMP:v', 'SEM:internal', 'PHI:DET:_', '-COMP:P', 'PF:haluaa', 'ARG', '-COMP:N', '-COMP:V', 'PHI:NUM:_', '-SPEC:FORCE'}
hairitsee       {'PHON', 'LANG:FI'}
hairitse-       {'COMP:P', '-VAL', 'SPEC:TO/inf', 'V', '-SPEC:T/fin', '-COMP:FIN', '!COMP:*', 'ASP', 'SPEC:φ', 'PHON', 'PHI:PER:_', 'LANG:FI', 'SPEC:ADV', 'CLASS:TR', 'SPEC:P', 'PF:hairitsee', 'COMP:φ', 'PHI:GEN:_', '!COMP:φ', '-COMP:v', 'PHI:DET:_', '-COMP:P', 'LF:disturb', 'ARG', '-COMP:N', '-COMP:V', 'PHI:NUM:_', '-SPEC:FORCE'}
hanno           {'PHON', 'LANG:IT'}
ho              {'PHON', 'LANG:IT'}
ha-             {'COMP:P', '-VAL', 'SPEC:TO/inf', 'V', '-SPEC:T/fin', 'LANG:IT', 'SPEC:φ', 'PHON', 'PHI:PER:_', 'SPEC:*', 'LF:have', 'SPEC:ADV', 'SPEC:P', 'PF:ha', 'PHI:GEN:_', '-COMP:v', 'SEM:internal', '-ASP', 'PHI:DET:_', 'COMP:T', 'ARG', '-COMP:N', '-COMP:V', 'PHI:NUM:_', '-SPEC:FORCE'}
horse           {'COMP:uR', 'COMP:P', '-SPEC:T/fin', 'PHON', '-COMP:VA/inf', '-COMP:WH', '-COMP:D', '-COMP:φ', 'COMP:R', '-COMP:C/fin', '-COMP:T/fin', 'COMP:C', 'PF:horse', '-COMP:V', 'LF:horse', '-SPEC:R', 'COMP:D/rel', '-SPEC:ADV', 'LANG:EN', 'SPEC:A', 'N', '-COMP:AUX', '-SPEC:P', '-SPEC:V', '-SPEC:uWH', '-COMP:v', '-SPEC:N', 'COMP:R/D', 'COMP:T/prt', '-COMP:N', '-SPEC:C/fin', '-COMP:A', '-SPEC:FORCE'}
havisivat       {'PHON', 'LANG:FI'}
haviavan        {'PHON', 'LANG:FI'}
havisi          {'PHON', 'LANG:FI'}
havia-          {'COMP:P', '-VAL', 'SPEC:TO/inf', 'CLASS:INTR', '-COMP:MA/inf', 'V', '-SPEC:T/fin', 'ASP', 'SPEC:φ', 'PHON', 'PHI:PER:_', 'LANG:FI', 'SPEC:ADV', 'SPEC:P', '-SPEC:P', '-COMP:φ', 'PHI:GEN:_', 'LF:disappear', '-COMP:v', 'PHI:DET:_', 'ARG', '-COMP:N', 'PF:havia', '-COMP:V', 'PHI:NUM:_', '-SPEC:FORCE'}
Helsingissa     {'PHON', 'LANG:FI'}
Helsinki        {'PHON', 'LANG:FI'}
Helsinki        {'PHON', 'LANG:EN'}
