ï»¿dummy        {'dummy', 'LANG:EN'}
from            {'!COMP:*', '-SPEC:P', '-SPEC:v', '-SPEC:FORCE', '-SPEC:N', '-SPEC:Neg/fin', '-COMP:ADV', '-COMP:T/fin', '-float', 'COMP:D', 'adjoinable', '-SPEC:ADV', '-SPEC:INF', '-SPEC:C/fin', '-SPEC:T/fin', '-SPEC:C', 'PHI:NUM:_', 'P', 'PF:from', '-SPEC:iR', '-SPEC:iWH', 'PHI:DET:_', '-SPEC:T/prt', '-COMP:T', '-SPEC:*', '-COMP:N', 'PHI:PER:_', '-VAL', 'LANG:EN', 'ARG', '-COMP:uWH', 'LF:from', 'TAIL:V,+SEM:directional', '-COMP:A', 'PHI:GEN:_', '-SPEC:V'}
gave            ['LANG:EN']
give-           {'!COMP:*', 'V', '-SPEC:T/fin', 'PHI:NUM:_', '-COMP:v', '-SPEC:FORCE', 'COMP:P', 'LF:give', 'CLASS:DITR', 'SPEC:P', 'PHI:DET:_', '-COMP:V', '-COMP:FIN', 'SPEC:ADV', '-COMP:N', 'PHI:PER:_', '-VAL', 'LANG:EN', 'ASP', 'ARG', 'COMP:D', '+SEM:directional', 'SPEC:D', 'PF:give', 'SPEC:TO/inf', 'PHI:GEN:_'}
Giuseppe        ['LANG:IT']
Giuseppe-       {'PF:Giuseppe', '-SPEC:P', '-SPEC:INF', 'COMP:T/prt', '-SPEC:C/fin', '-COMP:VA/inf', '-SPEC:T/fin', '-COMP:v', 'N', '-SPEC:FORCE', '-SPEC:N', 'COMP:P', 'COMP:D/rel', '-SPEC:uWH', 'COMP:C', '-COMP:C/fin', '-COMP:AUX', 'LANG:IT', '-COMP:V', 'COMP:R', '-COMP:WH', '-COMP:N', '-SEM:directional', '-SPEC:R', 'COMP:R/D', 'LF:Giuseppe', '-SPEC:ADV', 'SPEC:A', '-COMP:A', 'COMP:uR', '-SPEC:V'}
haluaa          ['LANG:FI']
halusi          ['LANG:FI']
halusimme       ['LANG:FI']
haluan          ['LANG:FI']
halua           ['LANG:FI']
haluamalla      ['LANG:FI']
haluttiin       ['LANG:FI']
haluttu         ['LANG:FI']
halua-          {'!COMP:*', 'V', '-SPEC:T/fin', 'SEM:internal', 'PHI:NUM:_', '-COMP:v', '-SPEC:FORCE', 'COMP:P', 'SPEC:P', 'ASP:BOUNDED', '-COMP:P', 'PHI:DET:_', '-SPEC:*', '-COMP:V', 'LANG:FI', 'CLASS:TR', '-COMP:N', 'COMP:A/inf', 'SPEC:ADV', 'PHI:PER:_', 'LF:want', '-VAL', 'COMP:D', 'ASP', 'ARG', 'PF:haluaa', 'SPEC:TO/inf', 'PHI:GEN:_'}
hairitsee       ['LANG:FI']
hairitse-       {'!COMP:*', 'V', '-SPEC:T/fin', 'LF:disturb', 'PHI:NUM:_', '-COMP:v', 'PHI:GEN:_', '-SPEC:FORCE', 'COMP:P', 'SPEC:P', '-COMP:P', 'PHI:DET:_', '!COMP:D', '-COMP:V', '-COMP:FIN', 'LANG:FI', 'CLASS:TR', '-COMP:N', 'SPEC:ADV', 'PHI:PER:_', '-VAL', 'ASP', 'ARG', 'COMP:D', 'SPEC:D', 'SPEC:TO/inf', 'PF:hairitsee'}
hanno           ['LANG:IT']
ho              ['LANG:IT']
ha-             {'V', 'COMP:T', '-SPEC:T/fin', 'PF:ha', '-ASP', 'SEM:internal', 'PHI:NUM:_', '-COMP:v', '-SPEC:FORCE', 'COMP:P', 'SPEC:P', 'PHI:DET:_', 'LANG:IT', '-COMP:V', 'SPEC:ADV', '-COMP:N', 'PHI:PER:_', '-VAL', 'ARG', 'LF:have', 'SPEC:D', 'SPEC:TO/inf', 'PHI:GEN:_', 'SPEC:*'}
horse           {'-SPEC:P', '-SPEC:INF', 'COMP:T/prt', '-SPEC:C/fin', '-COMP:VA/inf', '-SPEC:T/fin', '-COMP:v', 'N', '-SPEC:FORCE', '-SPEC:N', 'COMP:P', 'COMP:D/rel', '-SPEC:uWH', 'COMP:C', '-COMP:C/fin', '-COMP:AUX', 'LF:horse', '-COMP:V', '-COMP:WH', 'COMP:R', '-COMP:N', '-SPEC:R', 'LANG:EN', 'PF:horse', 'COMP:R/D', '-SPEC:ADV', 'SPEC:A', '-COMP:A', 'COMP:uR', '-SPEC:V'}
havisivat       ['LANG:FI']
haviavan        ['LANG:FI']
havisi          ['LANG:FI']
havia-          {'V', '-SPEC:T/fin', 'PHI:NUM:_', '-COMP:v', '-COMP:D', '-SPEC:FORCE', 'COMP:P', 'SPEC:P', '-COMP:MA/inf', 'PHI:DET:_', '-COMP:V', 'LANG:FI', 'SPEC:ADV', '-COMP:N', 'PHI:PER:_', 'LF:disappear', '-VAL', 'ASP', 'ARG', 'CLASS:INTR', 'PF:havia', 'SPEC:D', 'SPEC:TO/inf', 'PHI:GEN:_'}
Helsingissa     ['LANG:FI']
Helsinki        ['LANG:FI']
