deva-           {'-COMP:V', 'SPEC:φ', '-PHI', '-SPEC:T/fin', 'LF:must', 'SPEC:TO/inf', 'ARG', 'COMP:ARE/inf', '-COMP:v', 'PHI:DET:_', 'LANG:IT', 'SEM:internal', 'SPEC:ADV', 'PHI:NUM:_', 'PHI:GEN:_', 'PHON', 'PF:deva', '-ASP', 'PHI:PER:_', '-COMP:N', 'SPEC:P', 'V', '-SPEC:FORCE'}
di              {'SPEC:*', '-SPEC:v', '!COMP:*', '-PHI', '-COMP:ADV', '-adjoinable', '-SPEC:C', '-SPEC:T/fin', 'ARG', 'PHI:DET:_', 'LF:of', 'P', '-SPEC:N', '-SPEC:iR', 'PHI:NUM:_', 'PHI:GEN:_', 'COMP:φ', 'PHON', '-SPEC:iWH', '-SPEC:P', '-SPEC:C/fin', '-COMP:T', '-SPEC:Neg/fin', '-COMP:T/fin', 'PHI:PER:_', '-SPEC:ADV', 'LANG:FI', 'PF:di', '-COMP:A', '-COMP:N', '-SPEC:V', '-SPEC:T/prt', '-SPEC:FORCE', '-COMP:uWH'}
does            {'PHI:NUM:SG', 'SPEC:*', '!COMP:*', 'T', 'SPEC:TO/inf', 'PHI:DET:_', 'PHI:GEN:_', 'PHI:PER:3', 'FIN', 'PHI:NUM:_', 'SPEC:FORCE', 'COMP:V', '-COMP:INF', 'T/fin', 'SPEC:T/prt', '!PROBE:V', 'SPEC:C/fin', '-SPEC:TO/inf', '!SPEC:*', 'VAL', '-COMP:T/fin', 'LANG:EN', '-SPEC:v', 'PHI:GEN:M', 'SPEC:φ', '-adjoinable', '-SPEC:T/fin', 'LF:does', 'ARG', 'COMP:Neg', '-SPEC:N', 'SPEC:D', 'PHON', 'PHI:GEN:F', 'PF:does', 'PHI:PER:_', 'COMP:v', '-SPEC:Neg', '-SPEC:V', '-SPEC:C'}
does            {'LANG:EN', 'PHON'}
does_T          {'PHI:NUM:SG', 'SPEC:*', '!COMP:*', 'T', 'SPEC:TO/inf', 'PHI:DET:_', 'PHI:GEN:_', 'PHI:PER:3', 'FIN', 'PHI:NUM:_', 'SPEC:FORCE', 'COMP:V', '-COMP:INF', 'T/fin', 'SPEC:T/prt', '!PROBE:V', 'SPEC:C/fin', '-SPEC:TO/inf', '!SPEC:*', 'VAL', '-COMP:T/fin', 'LANG:EN', '-SPEC:v', 'PHI:GEN:M', 'SPEC:φ', '-adjoinable', '-SPEC:T/fin', 'LF:does', 'ARG', 'COMP:Neg', '-SPEC:N', 'SPEC:D', 'PHON', 'PHI:GEN:F', 'PF:does', 'PHI:PER:_', 'COMP:v', '-SPEC:Neg', '-SPEC:V', '-SPEC:C'}
does-           {'PHI:NUM:SG', 'SPEC:*', '!COMP:*', 'T', 'SPEC:TO/inf', 'PHI:DET:_', 'PHI:GEN:_', 'PHI:PER:3', 'FIN', 'PHI:NUM:_', 'SPEC:FORCE', 'COMP:V', '-COMP:INF', 'T/fin', 'SPEC:T/prt', '!PROBE:V', 'SPEC:C/fin', '-SPEC:TO/inf', '!SPEC:*', 'VAL', '-COMP:T/fin', 'LANG:EN', '-SPEC:v', 'PHI:GEN:M', 'SPEC:φ', '-adjoinable', '-SPEC:T/fin', 'LF:does', 'ARG', 'COMP:Neg', '-SPEC:N', 'SPEC:D', 'PHON', 'PHI:GEN:F', 'PF:does', 'PHI:PER:_', 'COMP:v', '-SPEC:Neg', '-SPEC:V', '-SPEC:C'}
dorme           {'LANG:IT', 'PHON'}
dorme-          {'LANG:EN', '-COMP:V', '!SPEC:φ', 'SPEC:φ', '-PHI', '-SPEC:T/fin', 'SPEC:TO/inf', 'ARG', '-COMP:v', 'PHI:DET:_', 'PF:dorme', 'PHI:GEN:_', 'SPEC:ADV', 'PHI:NUM:_', 'PHON', 'CLASS/INTR', '-COMP:INF', 'PHI:PER:_', 'ASP', '-COMP:N', 'SPEC:P', 'V', '-SPEC:FORCE', 'LF:sleep', '-COMP:φ'}
disappeared     {'LANG:EN', 'PHON'}
disappear-      {'LANG:EN', '-COMP:V', 'SPEC:φ', '-PHI', 'PF:disappear', 'LF:disappear', '-SPEC:T/fin', 'SPEC:TO/inf', 'ARG', '-COMP:v', 'PHI:DET:_', 'PHI:GEN:_', 'SPEC:ADV', 'PHI:NUM:_', 'PHON', 'CLASS/INTR', '-COMP:INF', 'PHI:PER:_', 'ASP', '-COMP:N', 'SPEC:P', 'V', '-SPEC:FORCE', '-COMP:φ'}
e               {'LANG:IT', 'PHON'}
easy            {'LANG:EN', 'PHON'}
easy-           {'PF:easy', '2SPEC', 'LANG:EN', 'SPEC:φ', '-COMP:φ', '0', 'LF:easy', 'PHON'}
en              {'LANG:FI', 'PHON'}
et              {'LANG:FI', 'PHON'}
ei              {'LANG:FI', 'PHON'}
emme            {'LANG:FI', 'PHON'}
ette            {'LANG:FI', 'PHON'}
eivat           {'LANG:FI', 'PHON'}
ei'             {'NEG', 'SPEC:*', '!COMP:T', '!COMP:*', 'Neg/fin', '-SPEC:T/fin', 'ARG', 'PHI:DET:_', 'COMP:T/prt', 'PHI:GEN:_', 'SEM:internal', 'FIN', 'LF:neg', 'PHI:NUM:_', 'PHON', 'PF:ei', 'POL:NEG', '-SPEC:T', '-COMP:T/fin', 'PHI:PER:_', 'LANG:FI', '%SPEC:INF', '!SPEC:*', 'VAL'}
e-              {'NEG', 'SPEC:*', '!COMP:T', '!COMP:*', 'Neg/fin', '-SPEC:T/fin', 'ARG', 'PHI:DET:_', 'COMP:T/prt', 'PHI:GEN:_', 'SEM:internal', 'FIN', 'LF:neg', 'PHI:NUM:_', 'PHON', 'PF:ei', 'POL:NEG', '-SPEC:T', '-COMP:T/fin', 'PHI:PER:_', 'LANG:FI', '%SPEC:INF', '!SPEC:*', 'VAL'}
elaa            {'LANG:FI', 'PHON'}
ela-            {'-COMP:V', 'SPEC:φ', '-PHI', 'LF:live', '-SPEC:T/fin', 'SPEC:TO/inf', 'ARG', '-COMP:v', 'PHI:DET:_', 'PHI:GEN:_', 'SPEC:ADV', 'PHI:NUM:_', 'PHON', 'CLASS/INTR', '-COMP:INF', 'PF:elaa', 'PHI:PER:_', 'LANG:FI', 'ASP', '-COMP:N', 'SPEC:P', 'V', '-SPEC:FORCE', '-COMP:φ'}
etsii           {'LANG:FI', 'PHON'}
etsi-           {'-COMP:V', '!COMP:*', '-PHI', '-COMP:ADV', '-SPEC:T/fin', 'SPEC:TO/inf', 'ARG', '-COMP:v', '-COMP:P', 'PHI:DET:_', 'PHI:GEN:_', 'SPEC:ADV', 'PHI:NUM:_', 'COMP:φ', 'PHON', 'LF:search', 'PF:etsi', '!COMP:φ', 'PHI:PER:_', 'LANG:FI', 'CLASS/TR', 'ASP', '-COMP:N', 'SPEC:P', 'V', '-SPEC:FORCE'}
esti            {'LANG:FI', 'PHON'}
esta-           {'-COMP:V', '!COMP:*', '-PHI', '-COMP:ADV', '-SPEC:T/fin', 'PF:esta', 'SPEC:TO/inf', 'ARG', '-COMP:v', '-COMP:P', 'PHI:DET:_', 'PHI:GEN:_', 'SPEC:ADV', 'PHI:NUM:_', 'COMP:φ', 'PHON', 'PHI:PER:_', 'LANG:FI', 'CLASS/TR', 'ASP', 'SEMCLASS_denied_event', '-COMP:N', 'SPEC:P', 'V', 'LF:prevent', '-SPEC:FORCE'}
etta            {'LF:that', 'REF', '-ARG', '!COMP:*', '-PHI', 'COMP:T/fin', 'FORCE', '!PROBE:FIN', 'COMP:C/fin', 'PF:etta', 'FIN', 'PHON', 'LANG:FI', '-SPEC:*', '-SPEC:φ', '-COMP:φ'}
että            {'LF:that', 'REF', '-ARG', '!COMP:*', '-PHI', 'COMP:T/fin', 'FORCE', '!PROBE:FIN', 'COMP:C/fin', 'FIN', 'PF:että', 'PHON', 'LANG:FI', '-SPEC:*', '-SPEC:φ', '-COMP:φ'}
fell            {'LANG:EN', 'PHON'}
fell-           {'LANG:EN', '-COMP:V', '!SPEC:φ', 'SPEC:φ', '-PHI', '-SPEC:T/fin', 'SPEC:TO/inf', 'ARG', '-COMP:v', 'PHI:DET:_', 'PHI:GEN:_', 'SPEC:ADV', 'PHI:NUM:_', 'PHON', 'PF:fell', 'CLASS/INTR', '-COMP:INF', 'PHI:PER:_', 'LF:fell', 'ASP', '-COMP:N', 'SPEC:P', 'V', '-SPEC:FORCE', '-COMP:φ'}
