Prediction errors:
4225. nenä-#O#Us#mAinen 
4236. nenä-#O#stO#tAr 
4238. nenä-#O#stO#[NOM] 
4239. nenä-#O#stO#inen 
4240. nenä-#O#stO#mAinen 
4242. nenä-#O#stO#tOn 
4251. nenä-#O#(t)e#tAr 
4253. nenä-#O#(t)e#[NOM] 
4254. nenä-#O#(t)e#inen 
4255. nenä-#O#(t)e#mAinen 
4268. nenä-#O#ise#[NOM] 
4275. nenä-#O#ise#hkO 
4283. nenä-#O#mAise#[NOM] 
4290. nenä-#O#mAise#hkO 
4373. nenä-#O#tAr#[NOM] 
4375. nenä-#O#tAr#mAinen 
4401. nenä-#O#[NOM]#tAr 
4403. nenä-#O#[NOM]#[NOM] 
4404. nenä-#O#[NOM]#inen 
4405. nenä-#O#[NOM]#mAinen 
4407. nenä-#O#[NOM]#tOn 
4418. nenä-#O#inen#[NOM] 
4433. nenä-#O#mAinen#[NOM] 
4463. nenä-#O#tOn#[NOM] 
4516. nenä-#Us#TA#(t)A 
4518. nenä-#Us#TA#T/fin#prs#n 
4522. nenä-#Us#TA#jA 
4526. nenä-#Us#TA#mAtOn 
4528. nenä-#Us#TA#mA 
4529. nenä-#Us#TA#vA 
4531. nenä-#Us#ile#(t)A 
4533. nenä-#Us#ile#T/fin#prs#n 
4537. nenä-#Us#ile#jA 
4541. nenä-#Us#ile#mAtOn 
4543. nenä-#Us#ile#mA 
4544. nenä-#Us#ile#vA 
4546. nenä-#Us#UTU#(t)A 
4548. nenä-#Us#UTU#T/fin#prs#n 
4552. nenä-#Us#UTU#jA 
4556. nenä-#Us#UTU#mAtOn 
4559. nenä-#Us#UTU#vA 
4561. nenä-#Us#AhtA#(t)A 
4563. nenä-#Us#AhtA#T/fin#prs#n 
4567. nenä-#Us#AhtA#jA 
4571. nenä-#Us#AhtA#mAtOn 
4573. nenä-#Us#AhtA#mA 
4574. nenä-#Us#AhtA#vA 
4576. nenä-#Us#Aise#(t)A 
4578. nenä-#Us#Aise#T/fin#prs#n 
4582. nenä-#Us#Aise#jA 
4586. nenä-#Us#Aise#mAtOn 
4588. nenä-#Us#Aise#mA 
4589. nenä-#Us#Aise#vA 
4591. nenä-#Us#a#(t)A 
4593. nenä-#Us#a#T/fin#prs#n 
4597. nenä-#Us#a#jA 
4601. nenä-#Us#a#mAtOn 
4603. nenä-#Us#a#mA 
4604. nenä-#Us#a#vA 
4611. nenä-#Us#O#tAr 
4613. nenä-#Us#O#[NOM] 
4614. nenä-#Us#O#inen 
4615. nenä-#Us#O#mAinen 
4617. nenä-#Us#O#tOn 
4628. nenä-#Us#Us#[NOM] 
4630. nenä-#Us#Us#mAinen 
4641. nenä-#Us#stO#tAr 
4643. nenä-#Us#stO#[NOM] 
4644. nenä-#Us#stO#inen 
4645. nenä-#Us#stO#mAinen 
4647. nenä-#Us#stO#tOn 
4656. nenä-#Us#(t)e#tAr 
4658. nenä-#Us#(t)e#[NOM] 
4659. nenä-#Us#(t)e#inen 
4660. nenä-#Us#(t)e#mAinen 
4673. nenä-#Us#ise#[NOM] 
4680. nenä-#Us#ise#hkO 
4688. nenä-#Us#mAise#[NOM] 
4695. nenä-#Us#mAise#hkO 
4808. nenä-#Us#[NOM]#[NOM] 
4810. nenä-#Us#[NOM]#mAinen 
