dorme-          {'PHI:NUM:_', 'ASP', 'ARG', 'PHI:DET:_', 'PHI:GEN:_', '-VAL', 'SPEC:P', '-COMP:φ', 'CLASS:INTR', 'PF:dorme', '-COMP:N', 'COMP:P', 'V', '-COMP:v', '-SPEC:FORCE', '-COMP:MA/inf', '-SPEC:T/fin', 'PHI:PER:_', 'LF:sleep', 'SPEC:ADV', 'SPEC:φ', '-COMP:V', '!SPEC:φ', 'LANG:EN', 'PHON', 'SPEC:TO/inf'}
disappeared     {'PHON', 'LANG:EN'}
disappear-      {'PHI:NUM:_', 'ASP', 'ARG', 'PHI:DET:_', 'PHI:GEN:_', '-VAL', 'SPEC:P', '-COMP:φ', 'CLASS:INTR', '-COMP:N', 'COMP:P', 'V', 'PF:disappear', '-COMP:v', '-SPEC:FORCE', '-COMP:MA/inf', '-SPEC:T/fin', 'PHI:PER:_', 'SPEC:ADV', 'SPEC:φ', '-COMP:V', 'LANG:EN', 'PHON', 'LF:disappear', 'SPEC:TO/inf'}
e               {'LANG:IT', 'PHON'}
easy            {'PHON', 'LANG:EN'}
easy-           {'LF:easy', '2SPEC', 'LANG:EN', '0', 'PF:easy', 'PHON', 'SPEC:φ'}
en              {'PHON', 'LANG:FI'}
et              {'PHON', 'LANG:FI'}
ei              {'PHON', 'LANG:FI'}
emme            {'PHON', 'LANG:FI'}
ette            {'PHON', 'LANG:FI'}
eivat           {'PHON', 'LANG:FI'}
ei'             {'PHI:NUM:_', 'PHI:DET:_', 'ARG', '%SPEC:INF', 'SPEC:*', '!COMP:T', 'PHI:GEN:_', 'PF:ei', 'VAL', 'POL:NEG', '!COMP:*', '!SPEC:*', 'Neg/fin', 'FIN', 'LF:neg', '-SPEC:T', '-SPEC:T/fin', 'PHI:PER:_', 'SEM:internal', 'COMP:T/prt', 'NEG', 'PHON', 'LANG:FI'}
e-              {'PHI:NUM:_', 'PHI:DET:_', 'ARG', '%SPEC:INF', 'SPEC:*', '!COMP:T', 'PHI:GEN:_', 'PF:ei', 'VAL', 'POL:NEG', '!COMP:*', '!SPEC:*', 'Neg/fin', 'FIN', 'LF:neg', '-SPEC:T', '-SPEC:T/fin', 'PHI:PER:_', 'SEM:internal', 'COMP:T/prt', 'NEG', 'PHON', 'LANG:FI'}
elaa            {'PHON', 'LANG:FI'}
