ï»¿dummy        {'dummy', 'LANG:FI'}
kuorsaa-        {'V', '-COMP:V', '-SPEC:T/fin', '-VAL', 'CAT:ARG', '-COMP:Neg/fin', 'COMP:P', '-COMP:v', 'PHI:PER:_', '-COMP:T/fin', 'ASP', 'PHI:NUM:_', '-COMP:WH', 'SPEC:P', 'LANG:FI', 'LF:snore', '-COMP:N', '-COMP:D', '-SPEC:FORCE', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'PHI:DET:_', '-COMP:T', 'PF:kuorsaa'}
kuorsaamalla    ['LANG:FI']
lahtee          ['LANG:FI']
lahtea          ['LANG:FI']
lahtemaan       ['LANG:FI']
lahtevan        ['LANG:FI']
lahtevansa      ['LANG:FI']
lahtevani       ['LANG:FI']
lahtemassa      ['LANG:FI']
lahtematta      ['LANG:FI']
lahtemalla      ['LANG:FI']
lahtiessa       ['LANG:FI']
lahtiessaan     ['LANG:FI']
lahdettyaan     ['LANG:FI']
lahdettya       ['LANG:FI']
lahde           ['LANG:FI']
lahte-          {'V', '-COMP:V', '-SPEC:T/fin', '-VAL', 'CAT:ARG', '-COMP:Neg/fin', 'COMP:P', '-COMP:v', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:D', 'SPEC:P', 'LANG:FI', '-COMP:N', '-COMP:D', 'LF:leave', 'COMP:PP', '-SPEC:FORCE', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'CLASS:INTR', 'PF:lahtea', 'PHI:DET:_', '-COMP:T'}
lavano          ['LANG:IT']
lava-           {'V', 'LF:wash', '!COMP:*', '-COMP:V', '-SPEC:T/fin', 'PHI:GEN:_', 'COMP:D', '-VAL', 'CAT:ARG', '-COMP:Neg/fin', 'PF:lava', 'COMP:P', '-COMP:v', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:P', '-COMP:N', '-SPEC:FORCE', 'LANG:IT', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'PHI:DET:_', '-COMP:T'}
lavato          ['LANG:IT']
lavata          ['LANG:IT']
lavare          ['LANG:IT']
lavati          ['LANG:IT']
lavando         ['LANG:IT']
lavo            ['LANG:IT']
lavi            ['LANG:IT']
lava            ['LANG:IT']
leaves          ['LANG:EN']
leave           {'V', '-COMP:V', '-SPEC:T/fin', 'PHI:GEN:_', '-VAL', 'CAT:ARG', '!SPEC:D', '-COMP:Neg/fin', 'COMP:P', '-COMP:v', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:P', '-COMP:N', 'LF:leave', '-SPEC:FORCE', 'LANG:EN', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'PHI:DET:_', '-COMP:T', 'PF:leave'}
