@  {'test_corpus_file': 'LHM_corpus.txt', 'test_corpus_folder': 'study-4c-LHM', 'study_folder': 'study-4c-LHM/', 'author': 'PauliBrattico', 'year': 2021, 'date': 'March', 'study_id': 1, 'only_first_solution': False, 'logging': True, 'ignore_ungrammatical_sentences': False, 'datatake_resources': True, 'datatake_resource_sequence': False, 'datatake_timings': False, 'datatake_images': True, 'image_parameter_stop_after_each_image': False, 'image_parameter_show_words': True, 'image_parameter_nolabels': False, 'image_parameter_spellout': False, 'image_parameter_case': False, 'image_parameter_show_sentences': False, 'image_parameter_show_glosses': True, 'extra_ranking': True, 'filter': True, 'lexical_anticipation': True, 'closure': 'Bottom-up', 'working_memory': True, 'positive_spec_selection': 100, 'negative_spec_selection': -100, 'break_head_comp_relations': -100, 'negative_tail_test': -100, 'positive_head_comp_selection': 100, 'negative_head_comp_selection': -100, 'negative_semantics_match': -100, 'lf_legibility_condition': -100, 'negative_adverbial_test': -100, 'positive_adverbial_test': 100}
@  2021-03-10 14:45:37.126777
@  Test sentences from language data working directory\study-4c-LHM\LHM_corpus.txt.
@  Logs into language data working directory\study-4c-LHM\LHM_corpus_log.txt.
@  Lexicon from language data working directory\lexicon.txt.
@  Redundancy rules from language data working directory\redundancy_rules.txt.
@  Universal morphemes from language data working directory\ug_morphemes.txt.
@ 
@ 
Number,Sentence,Study_ID,Group 0,Group 1,Total Time,Garden Paths,Memory Reactivation,Steps,Merge,Move Head,Move Phrase,A-Move Phrase,A-bar Move Phrase,Move Adjunct,Agree,Phi,Transfer,Item streamed into syntax,Feature Processing,Extraposition,Inflection,Failed Transfer,LF recovery,LF test,Filter solution,Rank solution,Lexical retrieval,Morphological decomposition,Mean time per word,Asymmetric Merge,Sink,External Tail Test,Execution time (ms)	
138,taytyy#C/op Pekan_gen myyda omaisuuttaan ,1,2,0,1610,0,0,10,9,16,0,0,0,0,6,11,7,10,3,0,9,6,5,10,9,2,19,5,402,37,6,11,46
139,haluaa#[foc] Pekka ihailla Merjaa ,1,2,0,1880,0,0,11,10,19,3,0,0,3,6,10,10,11,3,0,14,6,4,13,10,2,25,5,470,45,7,33,46
140,haluaa#[hAn] Pekka ihailla Merjaa ,1,2,0,1880,0,0,11,10,19,3,0,0,3,6,10,10,11,3,0,14,6,4,13,10,2,25,5,470,45,7,33,46
141,haluaa#[kO] Pekka ihailla Merjaa ,1,2,0,1870,0,0,11,10,19,3,0,0,3,6,10,10,11,3,0,14,6,4,13,10,2,25,5,467,45,7,33,46
142,haluaa#[pA] Pekka ihailla Merjaa ,1,2,0,1870,0,0,11,10,19,3,0,0,3,6,10,10,11,3,0,14,6,4,13,10,2,25,5,467,45,7,33,46
143,haluaa#[foc]#[hAn] Pekka ihailla Merjaa ,1,2,0,2010,0,0,11,10,19,3,0,0,3,6,10,10,11,3,0,15,6,4,13,10,2,26,5,502,45,7,33,46
144,haluaa#[foc]#[kO] Pekka ihailla Merjaa ,1,2,0,2000,0,0,11,10,19,3,0,0,3,6,10,10,11,3,0,15,6,4,13,10,2,26,5,500,45,7,33,46
145,haluaa#[foc]#[pA] Pekka ihailla Merjaa ,1,2,0,2000,0,0,11,10,19,3,0,0,3,6,10,10,11,3,0,15,6,4,13,10,2,26,5,500,45,7,33,62
146,haluaa#[kO]#[hAn] Pekka ihailla Merjaa ,1,2,0,1990,0,0,11,10,19,3,0,0,3,6,10,10,11,3,0,15,6,4,13,10,2,26,5,497,45,7,33,62
147,haluaa#[pA]#[hAn] Pekka ihailla Merjaa ,1,2,0,1990,0,0,11,10,19,3,0,0,3,6,10,10,11,3,0,15,6,4,13,10,2,26,5,497,45,7,33,62
148,haluaa#[foc]#[kO]#[hAn] Pekka ihailla Merjaa ,1,2,0,2120,0,0,11,10,19,3,0,0,3,6,10,10,11,3,0,16,6,4,13,10,2,27,5,530,45,7,33,62
149,haluaa#[foc]#[pA]#[hAn] Pekka ihailla Merjaa ,1,2,0,2120,0,0,11,10,19,3,0,0,3,6,10,10,11,3,0,16,6,4,13,10,2,27,5,530,45,7,33,62
150,haluaa#C/op Pekka myyda omaisuuttaan ,1,2,0,1680,0,0,11,10,19,3,0,0,3,6,10,10,11,3,0,9,6,4,13,10,2,20,5,420,45,7,33,62
151,on'#C/op Pekka ihaillut Merjaa ,1,2,0,1905,0,0,27,9,19,5,0,0,5,11,14,13,10,0,0,15,6,3,19,8,6,25,5,476,128,18,96,62
152,on'#[foc] Pekka ihaillut Merjaa ,1,2,0,1915,0,0,27,9,19,5,0,0,5,11,14,13,10,0,0,15,6,3,19,8,6,25,5,478,128,18,96,62
153,on'#[hAn] Pekka ihaillut Merjaa ,1,2,0,1915,0,0,27,9,19,5,0,0,5,11,14,13,10,0,0,15,6,3,19,8,6,25,5,478,128,18,96,62
154,on'#[kO] Pekka ihaillut Merjaa ,1,2,0,1905,0,0,27,9,19,5,0,0,5,11,14,13,10,0,0,15,6,3,19,8,6,25,5,476,128,18,96,62
155,on'#[pA] Pekka ihaillut Merjaa ,1,2,0,1905,0,0,27,9,19,5,0,0,5,11,14,13,10,0,0,15,6,3,19,8,6,25,5,476,128,18,96,93
156,on'#[foc]#[hAn] Pekka ihaillut Merjaa ,1,2,0,2045,0,0,27,9,19,5,0,0,5,11,14,13,10,0,0,16,6,3,19,8,6,26,5,511,128,18,96,62
157,on'#[foc]#[kO] Pekka ihaillut Merjaa ,1,2,0,2035,0,0,27,9,19,5,0,0,5,11,14,13,10,0,0,16,6,3,19,8,6,26,5,508,128,18,96,62
158,on'#[foc]#[pA] Pekka ihaillut Merjaa ,1,2,0,2035,0,0,27,9,19,5,0,0,5,11,14,13,10,0,0,16,6,3,19,8,6,26,5,508,128,18,96,62
159,on'#[kO]#[hAn] Pekka ihaillut Merjaa ,1,2,0,2025,0,0,27,9,19,5,0,0,5,11,14,13,10,0,0,16,6,3,19,8,6,26,5,506,128,18,96,62
160,on'#[pA]#[hAn] Pekka ihaillut Merjaa ,1,2,0,2025,0,0,27,9,19,5,0,0,5,11,14,13,10,0,0,16,6,3,19,8,6,26,5,506,128,18,96,62
161,on'#[foc]#[kO]#[hAn] Pekka ihaillut Merjaa ,1,2,0,2155,0,0,27,9,19,5,0,0,5,11,14,13,10,0,0,17,6,3,19,8,6,27,5,538,128,18,96,62
162,on'#[foc]#[pA]#[hAn] Pekka ihaillut Merjaa ,1,2,0,2155,0,0,27,9,19,5,0,0,5,11,14,13,10,0,0,17,6,3,19,8,6,27,5,538,128,18,96,62
163,on'#C/op Pekka myynyt omaisuuttaan ,1,2,0,1765,0,0,27,9,19,5,0,0,5,11,14,13,10,0,0,11,6,3,19,8,6,21,5,441,128,18,96,78
164,ihailee#C/fin Pekka Merjaa ,1,2,0,1425,0,0,8,7,10,2,0,0,2,4,6,6,8,0,0,12,3,2,9,6,2,20,4,475,24,5,17,46
165,ei#C/fin Pekka ihaile Merjaa ,1,2,0,1530,0,0,9,8,13,3,0,0,3,9,12,11,9,0,1,12,8,3,16,8,4,21,5,382,41,5,39,46
166,taytyy#C/fin Pekan_gen ihailla Merjaa ,1,2,0,1700,0,0,10,9,16,0,0,0,0,6,11,7,10,3,0,12,6,5,10,9,2,22,5,425,37,6,11,46
167,haluaa#C/fin Pekka ihailla Merjaa ,1,2,0,1770,0,0,11,10,19,3,0,0,3,6,10,10,11,3,0,12,6,4,13,10,2,23,5,442,45,7,33,62
168,on'#C/fin Pekka ihaillut Merjaa ,1,2,0,1805,0,0,27,9,19,5,0,0,5,11,14,13,10,0,0,13,6,3,19,8,6,23,5,451,128,18,96,62
169,myi#C/fin Pekka omaisuuttaan ,1,2,0,1225,0,0,8,7,10,2,0,0,2,4,6,6,8,0,0,8,3,2,9,6,2,16,4,408,24,5,17,31
170,ei#C/fin Pekka myynyt omaisuuttaan ,1,2,0,1485,0,0,9,8,13,3,0,0,3,9,12,11,9,0,1,9,8,3,16,8,5,18,5,371,41,5,39,62
171,taytyy#C/fin Pekan_gen myyda omaisuuttaan ,1,2,0,1510,0,0,10,9,16,0,0,0,0,6,11,7,10,3,0,7,6,5,10,9,2,17,5,377,37,6,11,46
172,haluaa#C/fin Pekka myyda omaisuuttaan ,1,2,0,1580,0,0,11,10,19,3,0,0,3,6,10,10,11,3,0,7,6,4,13,10,2,18,5,395,45,7,33,62
173,on'#C/fin Pekka myynyt omaisuuttaan ,1,2,0,1665,0,0,27,9,19,5,0,0,5,11,14,13,10,0,0,9,6,3,19,8,6,19,5,416,128,18,96,62
174,ihailee#C/op Merjaa Pekka ,1,2,0,1610,0,0,9,7,14,4,0,0,4,6,9,9,8,0,0,14,1,3,13,5,4,22,4,536,57,6,58,31
175,ihailee#[foc] Merjaa Pekka ,1,2,0,1620,0,0,9,7,14,4,0,0,4,6,9,9,8,0,0,14,1,3,13,5,4,22,4,540,57,6,58,46
176,ihailee#[hAn] Merjaa Pekka ,1,2,0,1620,0,0,9,7,14,4,0,0,4,6,9,9,8,0,0,14,1,3,13,5,4,22,4,540,57,6,58,46
177,ihailee#[kO] Merjaa Pekka ,1,2,0,1610,0,0,9,7,14,4,0,0,4,6,9,9,8,0,0,14,1,3,13,5,4,22,4,536,57,6,58,46
178,ihailee#[pA] Merjaa Pekka ,1,2,0,1610,0,0,9,7,14,4,0,0,4,6,9,9,8,0,0,14,1,3,13,5,4,22,4,536,57,6,58,46
179,ihailee#[foc]#[hAn] Merjaa Pekka ,1,2,0,1750,0,0,9,7,14,4,0,0,4,6,9,9,8,0,0,15,1,3,13,5,4,23,4,583,57,6,58,46
180,ihailee#[foc]#[kO] Merjaa Pekka ,1,2,0,1740,0,0,9,7,14,4,0,0,4,6,9,9,8,0,0,15,1,3,13,5,4,23,4,580,57,6,58,46
181,ihailee#[foc]#[pA] Merjaa Pekka ,1,2,0,1740,0,0,9,7,14,4,0,0,4,6,9,9,8,0,0,15,1,3,13,5,4,23,4,580,57,6,58,31
182,ihailee#[kO]#[hAn] Merjaa Pekka ,1,2,0,1730,0,0,9,7,14,4,0,0,4,6,9,9,8,0,0,15,1,3,13,5,4,23,4,576,57,6,58,46
183,ihailee#[pA]#[hAn] Merjaa Pekka ,1,2,0,1730,0,0,9,7,14,4,0,0,4,6,9,9,8,0,0,15,1,3,13,5,4,23,4,576,57,6,58,31
184,ihailee#[foc]#[kO]#[hAn] Merjaa Pekka ,1,2,0,1860,0,0,9,7,14,4,0,0,4,6,9,9,8,0,0,16,1,3,13,5,4,24,4,620,57,6,58,31
185,ihailee#[foc]#[pA]#[hAn] Merjaa Pekka ,1,2,0,1860,0,0,9,7,14,4,0,0,4,6,9,9,8,0,0,16,1,3,13,5,4,24,4,620,57,6,58,46
186,ei#C/op Merjaa ihaile Pekka ,1,2,0,1735,0,0,11,8,18,6,0,0,6,13,17,16,9,0,1,14,4,4,23,6,3,23,5,433,99,7,120,62
187,ei#C/op Merjaa ollut ihaillut Pekka ,1,2,0,2100,0,0,12,9,21,6,0,0,6,24,29,20,10,0,1,16,11,5,30,9,4,26,6,420,123,7,152,93
188,haluaa#C/op Merjaa ihailla Pekka ,1,2,0,2005,0,0,13,10,26,6,0,0,6,8,13,15,11,5,0,14,3,5,19,8,5,25,5,501,117,9,126,78
189,on'#C/op Merjaa ihaillut Pekka ,1,2,0,2000,0,0,31,9,25,6,0,0,6,15,19,16,10,0,0,15,6,4,24,6,6,25,5,500,264,22,268,78
190,ei#C/fin omaisuuttaan myynyt Pekka ,1,2,0,1570,0,0,11,8,18,5,0,0,5,13,17,15,9,0,1,9,4,4,22,6,4,18,5,392,104,7,124,62
191,haluaa#C/fin omaisuuttaan myyda Pekka ,1,2,0,2915,1,2,13,12,32,9,0,1,7,10,16,18,12,6,0,7,5,6,22,9,5,19,5,728,120,9,130,93
192,on'#C/fin Pekka myynyt omaisuuttaan ,1,2,0,1665,0,0,27,9,19,5,0,0,5,11,14,13,10,0,0,9,6,3,19,8,6,19,5,416,128,18,96,62
193,ihailee#C/op Helsingissa Pekka Merjaa ,1,2,0,2230,0,0,12,10,19,4,0,0,4,5,9,16,11,0,3,17,9,4,20,9,5,28,6,557,69,8,72,78
194,ihailee#[foc] Helsingissa Pekka Merjaa ,1,2,0,2240,0,0,12,10,19,4,0,0,4,5,9,16,11,0,3,17,9,4,20,9,5,28,6,560,69,8,72,78
195,ihailee#[hAn] Helsingissa Pekka Merjaa ,1,2,0,2240,0,0,12,10,19,4,0,0,4,5,9,16,11,0,3,17,9,4,20,9,5,28,6,560,69,8,72,78
196,ihailee#[kO] Helsingissa Pekka Merjaa ,1,2,0,2230,0,0,12,10,19,4,0,0,4,5,9,16,11,0,3,17,9,4,20,9,5,28,6,557,69,8,72,78
197,ihailee#[pA] Helsingissa Pekka Merjaa ,1,2,0,2230,0,0,12,10,19,4,0,0,4,5,9,16,11,0,3,17,9,4,20,9,5,28,6,557,69,8,72,62
198,ihailee#[foc]#[hAn] Helsingissa Pekka Merjaa ,1,2,0,2370,0,0,12,10,19,4,0,0,4,5,9,16,11,0,3,18,9,4,20,9,5,29,6,592,69,8,72,62
199,ihailee#[foc]#[kO] Helsingissa Pekka Merjaa ,1,2,0,2360,0,0,12,10,19,4,0,0,4,5,9,16,11,0,3,18,9,4,20,9,5,29,6,590,69,8,72,78
200,ihailee#[foc]#[pA] Helsingissa Pekka Merjaa ,1,2,0,2360,0,0,12,10,19,4,0,0,4,5,9,16,11,0,3,18,9,4,20,9,5,29,6,590,69,8,72,78
201,ihailee#[kO]#[hAn] Helsingissa Pekka Merjaa ,1,2,0,2350,0,0,12,10,19,4,0,0,4,5,9,16,11,0,3,18,9,4,20,9,5,29,6,587,69,8,72,78
202,ihailee#[pA]#[hAn] Helsingissa Pekka Merjaa ,1,2,0,2350,0,0,12,10,19,4,0,0,4,5,9,16,11,0,3,18,9,4,20,9,5,29,6,587,69,8,72,78
203,ihailee#[foc]#[kO]#[hAn] Helsingissa Pekka Merjaa ,1,2,0,2480,0,0,12,10,19,4,0,0,4,5,9,16,11,0,3,19,9,4,20,9,5,30,6,620,69,8,72,78
204,ihailee#[foc]#[pA]#[hAn] Helsingissa Pekka Merjaa ,1,2,0,2480,0,0,12,10,19,4,0,0,4,5,9,16,11,0,3,19,9,4,20,9,5,30,6,620,69,8,72,78
205,ei#C/op Helsingissa Pekan_gen taydy ihailla Merjaa ,1,2,0,2805,0,0,20,13,35,5,0,0,5,17,24,26,14,5,4,17,24,7,33,17,8,31,8,467,176,12,167,140
206,ei#C/op Helsingissa Pekka halua ihailla Merjaa ,1,2,0,2970,0,0,22,14,43,12,0,0,12,17,23,33,15,5,4,17,24,6,40,18,6,32,8,495,214,14,242,156
207,taytyy#C/op Helsingissa Pekan_gen ihailla Merjaa ,1,2,0,2570,0,0,17,12,27,4,0,0,4,7,13,20,13,4,4,17,13,6,22,13,5,30,7,514,109,11,95,93
208,haluaa#C/op Helsingissa Pekka ihailla Merjaa ,1,2,0,2640,0,0,18,13,30,7,0,0,7,7,13,23,14,4,3,17,13,6,25,14,5,31,7,528,134,12,139,109
209,on'#C/op Helsingissa Pekka ihaillut Merjaa ,1,2,0,2665,0,0,43,12,30,9,0,0,9,13,17,25,13,0,3,18,14,4,30,12,9,31,7,533,308,30,324,125
210,ei#C/op Pekan_gen#top Helsingissa taydy ihailla Merjaa ,1,2,0,2980,0,0,20,13,37,10,0,3,7,17,24,28,14,5,3,18,22,7,31,17,5,32,9,496,138,12,103,140
211,ei#C/op Pekka Helsingissa halua ihailla Merjaa ,1,2,0,2920,0,0,22,14,45,12,0,0,12,18,24,32,15,5,2,17,22,6,33,18,5,32,8,486,270,14,333,171
212,taytyy#C/op Pekan_gen#top Helsingissa ihailla Merjaa ,1,2,0,2705,0,0,17,12,30,5,0,3,2,8,14,17,13,4,3,18,12,6,21,13,3,31,8,541,83,11,42,109
213,haluaa#C/op Pekka Helsingissa ihailla Merjaa ,1,2,0,2610,0,0,18,13,34,8,0,0,8,8,13,21,14,4,1,17,11,5,20,14,4,31,7,522,161,12,178,109
214,on'#C/op Pekka Helsingissa ihaillut Merjaa ,1,2,0,2690,0,0,65,12,37,11,0,0,11,16,20,25,13,0,0,18,10,4,30,11,8,31,7,538,542,46,594,125
215,ihailen#C/op Merjaa ,1,2,0,1040,0,0,6,5,4,0,0,0,0,2,4,2,6,0,0,9,1,2,3,4,2,15,3,520,6,4,2,31
216,ihailen#[foc] Merjaa ,1,2,0,1050,0,0,6,5,4,0,0,0,0,2,4,2,6,0,0,9,1,2,3,4,2,15,3,525,6,4,2,15
217,ihailen#[hAn] Merjaa ,1,2,0,1050,0,0,6,5,4,0,0,0,0,2,4,2,6,0,0,9,1,2,3,4,2,15,3,525,6,4,2,15
218,ihailen#[kO] Merjaa ,1,2,0,1040,0,0,6,5,4,0,0,0,0,2,4,2,6,0,0,9,1,2,3,4,2,15,3,520,6,4,2,31
219,ihailen#[pA] Merjaa ,1,2,0,1040,0,0,6,5,4,0,0,0,0,2,4,2,6,0,0,9,1,2,3,4,2,15,3,520,6,4,2,15
220,ihailen#[foc]#[hAn] Merjaa ,1,2,0,1180,0,0,6,5,4,0,0,0,0,2,4,2,6,0,0,10,1,2,3,4,2,16,3,590,6,4,2,31
221,ihailen#[foc]#[kO] Merjaa ,1,2,0,1170,0,0,6,5,4,0,0,0,0,2,4,2,6,0,0,10,1,2,3,4,2,16,3,585,6,4,2,15
222,ihailen#[foc]#[pA] Merjaa ,1,2,0,1170,0,0,6,5,4,0,0,0,0,2,4,2,6,0,0,10,1,2,3,4,2,16,3,585,6,4,2,15
223,ihailen#[kO]#[hAn] Merjaa ,1,2,0,1160,0,0,6,5,4,0,0,0,0,2,4,2,6,0,0,10,1,2,3,4,2,16,3,580,6,4,2,31
224,ihailen#[pA]#[hAn] Merjaa ,1,2,0,1160,0,0,6,5,4,0,0,0,0,2,4,2,6,0,0,10,1,2,3,4,2,16,3,580,6,4,2,15
225,ihailen#[foc]#[kO]#[hAn] Merjaa ,1,2,0,1290,0,0,6,5,4,0,0,0,0,2,4,2,6,0,0,11,1,2,3,4,2,17,3,645,6,4,2,15
226,ihailen#[foc]#[pA]#[hAn] Merjaa ,1,2,0,1290,0,0,6,5,4,0,0,0,0,2,4,2,6,0,0,11,1,2,3,4,2,17,3,645,6,4,2,31
227,haluan#C/op ihailla Merjaa ,1,2,0,1330,0,0,9,8,11,0,0,0,0,4,8,4,9,2,0,9,3,4,5,7,2,18,4,443,14,6,2,31
228,ihailee Pekka Merjaa ,1,2,1,
229,ei Pekka ihaile Merjaa ,1,2,1,
230,taytyy Pekan_genn ihailla Merjaa ,1,2,1,
231,haluaa Pekka ihailla Merjaa ,1,2,1,
232,ihailee Pekka ihailee Merjaa ,1,2,1,
233,on' Pekka ihaillut Merjaa ,1,2,1,
234,myi Pekka omaisuutensa ,1,2,1,
235,does#C/fin John admire' Mary ,1,2,0,1270,0,0,8,7,10,0,0,0,0,6,8,7,8,0,0,10,6,2,10,7,3,18,4,317,21,4,0,31
236,admire'#C/fin John does Mary ,1,2,1,
237,ihaile#C/op Pekka ei Merjaa ,1,3,0,1625,0,0,9,8,11,2,0,0,2,8,11,10,9,0,1,14,8,3,15,8,2,23,5,406,37,5,30,62
238,ihaile#[foc] Pekka ei Merjaa ,1,3,0,1635,0,0,9,8,11,2,0,0,2,8,11,10,9,0,1,14,8,3,15,8,2,23,5,408,37,5,30,46
239,ihaile#[hAn] Pekka ei Merjaa ,1,3,0,1635,0,0,9,8,11,2,0,0,2,8,11,10,9,0,1,14,8,3,15,8,2,23,5,408,37,5,30,46
240,ihaile#[kO] Pekka ei Merjaa ,1,3,0,1625,0,0,9,8,11,2,0,0,2,8,11,10,9,0,1,14,8,3,15,8,2,23,5,406,37,5,30,46
241,ihaile#[pA] Pekka ei Merjaa ,1,3,0,1625,0,0,9,8,11,2,0,0,2,8,11,10,9,0,1,14,8,3,15,8,2,23,5,406,37,5,30,46
242,ihaile#[foc]#[hAn] Pekka ei Merjaa ,1,3,0,1765,0,0,9,8,11,2,0,0,2,8,11,10,9,0,1,15,8,3,15,8,2,24,5,441,37,5,30,46
243,ihaile#[foc]#[kO] Pekka ei Merjaa ,1,3,0,1755,0,0,9,8,11,2,0,0,2,8,11,10,9,0,1,15,8,3,15,8,2,24,5,438,37,5,30,62
244,ihaile#[foc]#[pA] Pekka ei Merjaa ,1,3,0,1755,0,0,9,8,11,2,0,0,2,8,11,10,9,0,1,15,8,3,15,8,2,24,5,438,37,5,30,46
245,ihaile#[kO]#[hAn] Pekka ei Merjaa ,1,3,0,1745,0,0,9,8,11,2,0,0,2,8,11,10,9,0,1,15,8,3,15,8,2,24,5,436,37,5,30,46
246,ihaile#[pA]#[hAn] Pekka ei Merjaa ,1,3,0,1745,0,0,9,8,11,2,0,0,2,8,11,10,9,0,1,15,8,3,15,8,2,24,5,436,37,5,30,46
247,ihaile#[foc]#[kO]#[hAn] Pekka ei Merjaa ,1,3,0,1875,0,0,9,8,11,2,0,0,2,8,11,10,9,0,1,16,8,3,15,8,2,25,5,468,37,5,30,46
248,ihaile#[foc]#[pA]#[hAn] Pekka ei Merjaa ,1,3,0,1875,0,0,9,8,11,2,0,0,2,8,11,10,9,0,1,16,8,3,15,8,2,25,5,468,37,5,30,46
249,myi#C/op Pekka omaisuutensa ,1,3,0,1325,0,0,8,7,10,2,0,0,2,4,6,6,8,0,0,10,3,2,9,6,2,18,4,441,24,5,17,31
250,ihaillut#C/op Pekka on' Merjaa ,1,3,0,1895,0,0,16,9,15,4,0,0,4,9,12,12,10,0,0,15,6,3,18,8,4,25,5,473,108,10,84,62
251,ihaillut#[foc] Pekka on' Merjaa ,1,3,0,1905,0,0,16,9,15,4,0,0,4,9,12,12,10,0,0,15,6,3,18,8,4,25,5,476,108,10,84,62
252,ihaillut#[hAn] Pekka on' Merjaa ,1,3,0,1905,0,0,16,9,15,4,0,0,4,9,12,12,10,0,0,15,6,3,18,8,4,25,5,476,108,10,84,62
253,ihaillut#[kO] Pekka on' Merjaa ,1,3,0,1895,0,0,16,9,15,4,0,0,4,9,12,12,10,0,0,15,6,3,18,8,4,25,5,473,108,10,84,46
254,ihaillut#[pA] Pekka on' Merjaa ,1,3,0,1895,0,0,16,9,15,4,0,0,4,9,12,12,10,0,0,15,6,3,18,8,4,25,5,473,108,10,84,46
255,ihaillut#[foc]#[hAn] Pekka on' Merjaa ,1,3,0,2035,0,0,16,9,15,4,0,0,4,9,12,12,10,0,0,16,6,3,18,8,4,26,5,508,108,10,84,62
256,ihaillut#[foc]#[kO] Pekka on' Merjaa ,1,3,0,2025,0,0,16,9,15,4,0,0,4,9,12,12,10,0,0,16,6,3,18,8,4,26,5,506,108,10,84,46
257,ihaillut#[foc]#[pA] Pekka on' Merjaa ,1,3,0,2025,0,0,16,9,15,4,0,0,4,9,12,12,10,0,0,16,6,3,18,8,4,26,5,506,108,10,84,62
258,ihaillut#[kO]#[hAn] Pekka on' Merjaa ,1,3,0,2015,0,0,16,9,15,4,0,0,4,9,12,12,10,0,0,16,6,3,18,8,4,26,5,503,108,10,84,46
259,ihaillut#[pA]#[hAn] Pekka on' Merjaa ,1,3,0,2015,0,0,16,9,15,4,0,0,4,9,12,12,10,0,0,16,6,3,18,8,4,26,5,503,108,10,84,46
260,ihaillut#[foc]#[kO]#[hAn] Pekka on' Merjaa ,1,3,0,2145,0,0,16,9,15,4,0,0,4,9,12,12,10,0,0,17,6,3,18,8,4,27,5,536,108,10,84,62
261,ihaillut#[foc]#[pA]#[hAn] Pekka on' Merjaa ,1,3,0,2145,0,0,16,9,15,4,0,0,4,9,12,12,10,0,0,17,6,3,18,8,4,27,5,536,108,10,84,62
262,myynyt#C/op Pekka on' omaisuutensa ,1,3,0,1735,0,0,16,9,15,4,0,0,4,9,12,12,10,0,0,11,6,3,18,8,4,21,5,433,118,10,106,46
263,ihailla#C/op Pekka haluaa Merjaa ,1,3,0,1895,0,0,11,10,17,3,0,0,3,6,10,10,11,2,0,14,8,4,15,10,4,25,5,473,40,7,24,31
264,ihailla#[foc] Pekka haluaa Merjaa ,1,3,0,1905,0,0,11,10,17,3,0,0,3,6,10,10,11,2,0,14,8,4,15,10,4,25,5,476,40,7,24,93
265,ihailla#[hAn] Pekka haluaa Merjaa ,1,3,0,1905,0,0,11,10,17,3,0,0,3,6,10,10,11,2,0,14,8,4,15,10,4,25,5,476,40,7,24,62
266,ihailla#[kO] Pekka haluaa Merjaa ,1,3,0,1895,0,0,11,10,17,3,0,0,3,6,10,10,11,2,0,14,8,4,15,10,4,25,5,473,40,7,24,62
267,ihailla#[pA] Pekka haluaa Merjaa ,1,3,0,1895,0,0,11,10,17,3,0,0,3,6,10,10,11,2,0,14,8,4,15,10,4,25,5,473,40,7,24,46
268,ihailla#[foc]#[hAn] Pekka haluaa Merjaa ,1,3,0,2035,0,0,11,10,17,3,0,0,3,6,10,10,11,2,0,15,8,4,15,10,4,26,5,508,40,7,24,46
269,ihailla#[foc]#[kO] Pekka haluaa Merjaa ,1,3,0,2025,0,0,11,10,17,3,0,0,3,6,10,10,11,2,0,15,8,4,15,10,4,26,5,506,40,7,24,62
270,ihailla#[foc]#[pA] Pekka haluaa Merjaa ,1,3,0,2025,0,0,11,10,17,3,0,0,3,6,10,10,11,2,0,15,8,4,15,10,4,26,5,506,40,7,24,62
271,ihailla#[kO]#[hAn] Pekka haluaa Merjaa ,1,3,0,2015,0,0,11,10,17,3,0,0,3,6,10,10,11,2,0,15,8,4,15,10,4,26,5,503,40,7,24,62
272,ihailla#[pA]#[hAn] Pekka haluaa Merjaa ,1,3,0,2015,0,0,11,10,17,3,0,0,3,6,10,10,11,2,0,15,8,4,15,10,4,26,5,503,40,7,24,62
273,ihailla#[foc]#[kO]#[hAn] Pekka haluaa Merjaa ,1,3,0,2145,0,0,11,10,17,3,0,0,3,6,10,10,11,2,0,16,8,4,15,10,4,27,5,536,40,7,24,62
274,ihailla#[foc]#[pA]#[hAn] Pekka haluaa Merjaa ,1,3,0,2145,0,0,11,10,17,3,0,0,3,6,10,10,11,2,0,16,8,4,15,10,4,27,5,536,40,7,24,62
275,myyda#C/op Pekka haluaa omaisuutensa ,1,3,0,1685,0,0,11,10,17,3,0,0,3,6,10,10,11,2,0,9,8,4,15,10,4,20,5,421,40,7,24,46
276,ihailla#C/op Pekan_gen taytyy Merjaa ,1,3,0,1825,0,0,10,9,14,0,0,0,0,6,11,7,10,2,0,14,8,5,12,9,4,24,5,456,36,6,10,46
277,ihailla#[foc] Pekan_gen taytyy Merjaa ,1,3,0,1835,0,0,10,9,14,0,0,0,0,6,11,7,10,2,0,14,8,5,12,9,4,24,5,458,36,6,10,62
278,ihailla#[hAn] Pekan_gen taytyy Merjaa ,1,3,0,1835,0,0,10,9,14,0,0,0,0,6,11,7,10,2,0,14,8,5,12,9,4,24,5,458,36,6,10,46
279,ihailla#[kO] Pekan_gen taytyy Merjaa ,1,3,0,1825,0,0,10,9,14,0,0,0,0,6,11,7,10,2,0,14,8,5,12,9,4,24,5,456,36,6,10,46
280,ihailla#[pA] Pekan_gen taytyy Merjaa ,1,3,0,1825,0,0,10,9,14,0,0,0,0,6,11,7,10,2,0,14,8,5,12,9,4,24,5,456,36,6,10,46
281,ihailla#[foc]#[hAn] Pekan_gen taytyy Merjaa ,1,3,0,1965,0,0,10,9,14,0,0,0,0,6,11,7,10,2,0,15,8,5,12,9,4,25,5,491,36,6,10,46
282,ihailla#[foc]#[kO] Pekan_gen taytyy Merjaa ,1,3,0,1955,0,0,10,9,14,0,0,0,0,6,11,7,10,2,0,15,8,5,12,9,4,25,5,488,36,6,10,46
283,ihailla#[foc]#[pA] Pekan_gen taytyy Merjaa ,1,3,0,1955,0,0,10,9,14,0,0,0,0,6,11,7,10,2,0,15,8,5,12,9,4,25,5,488,36,6,10,46
