ï»¿dummy        {'dummy', 'LANG:EN'}
en              ['LANG:FI']
et              ['LANG:FI']
ei              ['LANG:FI']
emme            ['LANG:FI']
ette            ['LANG:FI']
eivat           ['LANG:FI']
ei'             {'SEM:internal', 'FIN', 'LF:neg', '%SPEC:INF', '-SPEC:T', 'PHI:GEN:_', 'SPEC:*', 'POL:NEG', 'PHI:NUM:_', 'Neg/fin', 'NEG', '!COMP:T', 'PHI:PER:_', '-SPEC:T/fin', 'ARG', '!COMP:*', '!SPEC:*', 'COMP:T/prt', 'PHI:DET:_', 'VAL', 'PF:ei', 'LANG:FI'}
e-              {'SEM:internal', 'FIN', 'LF:neg', '%SPEC:INF', '-SPEC:T', 'PHI:GEN:_', 'SPEC:*', 'POL:NEG', 'PHI:NUM:_', 'Neg/fin', 'NEG', '!COMP:T', 'PHI:PER:_', '-SPEC:T/fin', 'ARG', '!COMP:*', '!SPEC:*', 'COMP:T/prt', 'PHI:DET:_', 'VAL', 'PF:ei', 'LANG:FI'}
elaa            ['LANG:FI']
ela-            {'COMP:P', 'PHI:GEN:_', 'CLASS:INTR', 'SPEC:D', 'PHI:NUM:_', 'LF:live', 'SPEC:ADV', 'V', '-SPEC:T/fin', '-SPEC:FORCE', 'PHI:PER:_', 'PF:elaa', 'ARG', '-COMP:V', '-COMP:D', 'PHI:DET:_', 'SPEC:TO/inf', 'ASP', '-COMP:v', '-VAL', '-COMP:MA/inf', 'LANG:FI', 'SPEC:P', '-COMP:N'}
etsii           ['LANG:FI']
etsi-           {'COMP:P', 'CLASS:TR', 'LF:search', 'PHI:GEN:_', 'PHI:NUM:_', 'PF:etsi', 'SPEC:ADV', '!COMP:D', 'V', '-SPEC:T/fin', '-SPEC:FORCE', 'PHI:PER:_', 'ARG', '-COMP:V', '!COMP:*', '-COMP:P', 'PHI:DET:_', 'COMP:D', 'SPEC:TO/inf', 'ASP', '-COMP:v', '-VAL', 'LANG:FI', 'SPEC:P', '-COMP:N'}
etta            {'COMP:T/fin', '-ARG', 'FIN', 'PF:etta', 'LF:that', '!PROBE:FIN', '-VAL', '-SPEC:D', '-SPEC:*', 'COMP:C/fin', 'LANG:FI', 'FORCE', '!COMP:*'}
fell            ['LANG:EN']
fell-           {'COMP:P', 'PHI:GEN:_', 'CLASS:INTR', 'SPEC:D', 'PHI:NUM:_', 'SPEC:ADV', 'V', '-SPEC:T/fin', '-SPEC:FORCE', 'PHI:PER:_', 'ARG', '-COMP:V', '-COMP:D', 'PHI:DET:_', 'PF:fell', 'ASP', '-COMP:v', 'LF:fell', '-VAL', 'LANG:EN', '-COMP:MA/inf', 'SPEC:TO/inf', 'SPEC:P', '-COMP:N'}
flow'           {'COMP:P', 'PHI:GEN:_', 'SPEC:D', 'PHI:NUM:_', 'SPEC:ADV', 'V', '-SPEC:T/fin', '-SPEC:FORCE', 'PHI:PER:_', 'ARG', '-COMP:V', 'LF:flow', 'SPEC:P', 'PHI:DET:_', 'ASP', '-COMP:v', '-VAL', 'LANG:EN', 'PF:flow', 'SPEC:TO/inf', '-COMP:N'}
from            {'-SPEC:P', '-SPEC:ADV', '-SPEC:v', '-COMP:A', '-SPEC:C', 'PHI:GEN:_', 'adjoinable', '-SPEC:INF', 'PHI:NUM:_', '-SPEC:C/fin', '-COMP:uWH', '-SPEC:*', '-SPEC:iWH', '-SPEC:FORCE', '-SPEC:T/fin', 'PHI:PER:_', 'ARG', '-SPEC:Neg/fin', '-COMP:T/fin', 'PF:from', '!COMP:*', '-SPEC:iR', '-SPEC:N', 'PHI:DET:_', 'COMP:D', 'LF:from', '-COMP:ADV', 'TAIL:V,+SEM:directional', '-float', '-SPEC:V', '-VAL', 'LANG:EN', '-COMP:N', 'P', '-COMP:T'}
gave            ['LANG:EN']
give-           {'COMP:P', 'CLASS:DITR', 'PHI:GEN:_', 'SPEC:D', 'PHI:NUM:_', 'SPEC:ADV', 'LF:give', 'V', '-COMP:FIN', '-SPEC:T/fin', '+SEM:directional', '-SPEC:FORCE', 'PF:give', '-COMP:V', 'ARG', '!COMP:*', 'PHI:PER:_', 'PHI:DET:_', 'COMP:D', 'ASP', '-COMP:v', '-VAL', 'LANG:EN', 'SPEC:TO/inf', 'SPEC:P', '-COMP:N'}
Giuseppe        ['LANG:IT']
Giuseppe-       {'-COMP:VA/inf', '-SPEC:P', 'COMP:P', '-COMP:C/fin', '-SPEC:ADV', '-COMP:A', '-SPEC:R', '-SEM:directional', 'LF:Giuseppe', '-SPEC:INF', '-SPEC:C/fin', 'COMP:R/D', 'COMP:R', 'COMP:D/rel', 'SPEC:A', '-SPEC:FORCE', '-SPEC:T/fin', '-COMP:V', 'COMP:C', 'COMP:T/prt', '-COMP:WH', 'COMP:uR', 'PF:Giuseppe', 'LANG:IT', '-SPEC:uWH', '-COMP:v', '-COMP:AUX', '-SPEC:V', '-COMP:N', '-SPEC:N', 'N'}
haluaa          ['LANG:FI']
halusi          ['LANG:FI']
halusimme       ['LANG:FI']
haluan          ['LANG:FI']
halua           ['LANG:FI']
haluamalla      ['LANG:FI']
haluttiin       ['LANG:FI']
haluttu         ['LANG:FI']
halua-          {'SEM:internal', 'LF:want', 'CLASS:TR', 'COMP:P', 'PHI:GEN:_', 'ASP:BOUNDED', 'PHI:NUM:_', 'SPEC:ADV', '-SPEC:*', 'V', '-SPEC:T/fin', '-SPEC:FORCE', 'PHI:PER:_', 'ARG', '-COMP:V', '!COMP:*', '-COMP:P', 'PF:haluaa', 'PHI:DET:_', 'COMP:D', 'SPEC:TO/inf', 'ASP', '-COMP:v', '-VAL', 'LANG:FI', 'SPEC:P', 'COMP:A/inf', '-COMP:N'}
hairitsee       ['LANG:FI']
hairitse-       {'COMP:P', 'CLASS:TR', 'PHI:GEN:_', 'SPEC:D', 'PHI:NUM:_', 'SPEC:ADV', 'LF:disturb', '!COMP:D', 'V', '-COMP:FIN', '-SPEC:T/fin', '-SPEC:FORCE', 'ARG', 'PHI:PER:_', '-COMP:V', '!COMP:*', '-COMP:P', 'PHI:DET:_', 'COMP:D', 'PF:hairitsee', 'SPEC:TO/inf', 'ASP', '-COMP:v', '-VAL', 'LANG:FI', 'SPEC:P', '-COMP:N'}
hanno           ['LANG:IT']
ho              ['LANG:IT']
ha-             {'SEM:internal', 'COMP:P', 'PHI:GEN:_', 'SPEC:*', 'LF:have', 'SPEC:D', 'PHI:NUM:_', 'SPEC:ADV', 'V', 'PF:ha', '-SPEC:T/fin', '-SPEC:FORCE', 'ARG', 'PHI:PER:_', '-COMP:V', 'COMP:T', 'PHI:DET:_', 'LANG:IT', '-COMP:v', '-VAL', 'SPEC:TO/inf', 'SPEC:P', '-ASP', '-COMP:N'}
horse           {'-COMP:VA/inf', '-SPEC:P', 'LF:horse', 'COMP:P', '-COMP:C/fin', '-SPEC:ADV', '-COMP:A', '-SPEC:R', '-SPEC:INF', '-SPEC:C/fin', 'COMP:R/D', 'COMP:R', 'COMP:D/rel', 'SPEC:A', '-SPEC:FORCE', '-SPEC:T/fin', '-COMP:V', 'COMP:C', 'COMP:T/prt', '-COMP:WH', 'COMP:uR', 'PF:horse', '-SPEC:uWH', '-COMP:v', '-COMP:AUX', '-SPEC:V', 'LANG:EN', '-COMP:N', '-SPEC:N', 'N'}
havisivat       ['LANG:FI']
haviavan        ['LANG:FI']
havisi          ['LANG:FI']
havia-          {'COMP:P', 'PHI:GEN:_', 'CLASS:INTR', 'PF:havia', 'SPEC:D', 'PHI:NUM:_', 'SPEC:ADV', 'V', '-SPEC:T/fin', '-SPEC:FORCE', 'PHI:PER:_', 'ARG', '-COMP:V', '-COMP:D', 'PHI:DET:_', 'LF:disappear', 'SPEC:TO/inf', 'ASP', '-COMP:v', '-VAL', '-COMP:MA/inf', 'LANG:FI', 'SPEC:P', '-COMP:N'}
Helsingissa     ['LANG:FI']
Helsinki        ['LANG:FI']
Helsinki-       {'-COMP:VA/inf', '-SPEC:P', 'COMP:P', '-COMP:C/fin', '-SPEC:ADV', '-COMP:A', '-SPEC:R', '-SPEC:INF', '-SPEC:C/fin', 'COMP:R/D', 'COMP:R', 'COMP:D/rel', 'SPEC:A', '-SPEC:FORCE', '-SPEC:T/fin', '-COMP:V', 'PF:Helsinki', 'COMP:C', 'COMP:T/prt', 'COMP:uR', '-COMP:WH', 'LF:Helsinki', '-SPEC:uWH', '-COMP:v', '-COMP:AUX', '-SPEC:V', 'LANG:FI', '-COMP:N', '-SPEC:N', 'N'}
ihailen         ['LANG:FI']
ihaili          ['LANG:FI']
ihailet         ['LANG:FI']
ihailee         ['LANG:FI']
ihailemme       ['LANG:FI']
ihailette       ['LANG:FI']
ihailevat       ['LANG:FI']
ihailevansa     ['LANG:FI']
ihailemassa     ['LANG:FI']
ihailtua        ['LANG:FI']
ihaile          ['LANG:FI']
ihaillut        ['LANG:FI']
ihailla         ['LANG:FI']
ihailemalla     ['LANG:FI']
ihaile-         {'COMP:P', 'CLASS:TR', 'PHI:GEN:_', 'SPEC:D', 'PHI:NUM:_', 'SPEC:ADV', '!COMP:D', 'V', '-COMP:FIN', '-SPEC:T/fin', '-SPEC:FORCE', 'ARG', 'PHI:PER:_', '-COMP:V', '!COMP:*', '-COMP:P', 'PHI:DET:_', 'LF:admire', 'COMP:D', 'SPEC:TO/inf', 'ASP', '-COMP:v', 'PF:ihaile-', '-VAL', 'LANG:FI', 'SPEC:P', '-COMP:N'}
il              {'-SPEC:P', 'PF:il', '-SPEC:C', 'adjoinable', '-COMP:uR', '-SPEC:INF', 'LF:the', '-SPEC:T/fin', '-SPEC:Neg/fin', '-COMP:T/fin', '-COMP:D', '!COMP:*', '-COMP:P', '-ARG', 'D', 'LANG:IT', 'COMP:N', '-SPEC:V', '!PROBE:N', '-SPEC:MA/lla'}
