ï»¿dummy        {'dummy', 'LANG:EN'}
haluan          ['LANG:FI']
halua           ['LANG:FI']
haluamalla      ['LANG:FI']
haluttiin       ['LANG:FI']
haluttu         ['LANG:FI']
halua-          {'SPEC:P', 'ARG', 'PF:haluaa', 'PHI:PER:_', 'SPEC:ADV', '-COMP:v', 'LF:want', 'COMP:P', 'LANG:FI', 'PHI:DET:_', '-SPEC:T/fin', '-VAL', 'ASP', '-SPEC:*', '-COMP:T/fin', 'CLASS:TR', 'ASP:BOUNDED', 'COMP:D', '!COMP:*', '-COMP:V', 'SPEC:TO/inf', 'V', '-COMP:P', 'SEM:internal', 'PHI:NUM:_', '-SPEC:FORCE', '-COMP:N', 'COMP:A/inf'}
hairitsee       ['LANG:FI']
hairitse-       {'SPEC:P', 'ARG', 'SPEC:D', 'PHI:PER:_', 'SPEC:ADV', '-COMP:v', 'COMP:P', 'LANG:FI', 'PHI:DET:_', '-SPEC:T/fin', '-VAL', 'ASP', '-COMP:T/fin', '-COMP:V', '-COMP:FIN', 'V', 'PF:hairitsee', 'LF:disturb', 'PHI:NUM:_', '-SPEC:FORCE', '!COMP:D', 'SPEC:TO/inf', '-COMP:N'}
hanno           ['LANG:IT']
ho              ['LANG:IT']
ha-             {'SPEC:P', 'ARG', 'SPEC:D', '-ASP', 'PHI:GEN:_', 'PHI:PER:_', 'LANG:IT', 'SPEC:ADV', '-COMP:v', 'COMP:P', 'PF:ha', 'PHI:DET:_', 'SPEC:*', '-SPEC:T/fin', '-COMP:T/fin', '-VAL', '-COMP:V', 'V', 'SEM:internal', 'PHI:NUM:_', '-SPEC:FORCE', '-COMP:N', 'LF:have', 'SPEC:TO/inf', 'COMP:T'}
havisivat       ['LANG:FI']
haviavan        ['LANG:FI']
havisi          ['LANG:FI']
havia-          {'PF:havia', 'SPEC:P', 'ARG', 'SPEC:D', 'PHI:PER:_', 'SPEC:ADV', '-COMP:v', 'COMP:P', 'LANG:FI', 'PHI:DET:_', '-SPEC:T/fin', '-COMP:D', 'ASP', '-COMP:T/fin', '-VAL', '-COMP:V', 'V', 'LF:disappear', 'CLASS:INTR', '-COMP:MA/inf', 'PHI:NUM:_', '-SPEC:FORCE', '-COMP:N', 'SPEC:TO/inf'}
ihailen         ['LANG:FI']
ihaili          ['LANG:FI']
ihailet         ['LANG:FI']
ihailee         ['LANG:FI']
ihailemme       ['LANG:FI']
ihailette       ['LANG:FI']
ihailevat       ['LANG:FI']
ihailevansa     ['LANG:FI']
ihailemassa     ['LANG:FI']
ihailtua        ['LANG:FI']
ihaile          ['LANG:FI']
ihaillut        ['LANG:FI']
ihailla         ['LANG:FI']
ihailemalla     ['LANG:FI']
ihaile-         {'SPEC:P', 'ARG', 'PHI:PER:_', 'SPEC:ADV', '-COMP:v', 'COMP:P', 'LANG:FI', 'PHI:DET:_', '-SPEC:T/fin', '-VAL', 'ASP', '-COMP:T/fin', 'CLASS:TR', '!COMP:*', 'LF:admire', 'COMP:D', '-COMP:V', '-COMP:FIN', 'V', 'PF:ihaile-', '-COMP:P', 'PHI:NUM:_', '-SPEC:FORCE', '!COMP:D', 'SPEC:TO/inf', '-COMP:N'}
il              {'-SPEC:V', '-SPEC:INF', 'LANG:IT', 'COMP:N', '-ARG', '-SPEC:MA/lla', '-COMP:D', '-SPEC:T/fin', '-COMP:T/fin', '-SPEC:P', '-SPEC:C', '!COMP:*', 'D', '-COMP:uR', 'adjoinable', 'PF:il', '-SPEC:Neg/fin', 'OP', '!PROBE:N', 'LF:the'}
i               {'-SPEC:V', '-SPEC:INF', 'LANG:IT', 'COMP:N', '-ARG', '-SPEC:MA/lla', '-COMP:D', '-SPEC:T/fin', '-COMP:T/fin', '-SPEC:P', '-SPEC:C', '!COMP:*', 'D', '-COMP:uR', 'adjoinable', 'PF:il', '-SPEC:Neg/fin', 'OP', '!PROBE:N', 'LF:the'}
in              {'-SPEC:V', 'ARG', '-SPEC:INF', '-COMP:uWH', 'PHI:GEN:_', 'PHI:PER:_', 'LANG:IT', '-SPEC:C/fin', '-SPEC:iWH', '-COMP:ADV', 'PHI:DET:_', '-VAL', '-SPEC:T/fin', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:P', '-SPEC:v', '!COMP:*', '-SPEC:C', 'COMP:D', '-SPEC:iR', 'PF:in', 'adjoinable', 'PHI:NUM:_', '-SPEC:FORCE', '-SPEC:N', '-COMP:N', 'LF:in', '-SPEC:Neg/fin', 'P'}
infermieri      {'-SPEC:V', '-SPEC:INF', '-COMP:WH', '-COMP:AUX', 'LANG:IT', '-COMP:v', 'COMP:P', '-SPEC:C/fin', 'COMP:R', 'SPEC:A', '-COMP:A', '-SPEC:T/fin', '-SPEC:R', '-SPEC:uWH', '-COMP:C/fin', '-SPEC:ADV', '-SPEC:P', 'PF:infermieri', '-COMP:V', 'N', 'COMP:C', 'COMP:uR', 'LF:nurses', '-SPEC:FORCE', '-SPEC:N', 'COMP:R/D', '-COMP:N'}
is              ['LANG:EN']
be-             {'SPEC:P', 'PF:be', 'SPEC:D', 'COPULA', '-COMP:TO/inf', 'SPEC:ADV', '-COMP:v', '-ARG', 'COMP:P', '-SPEC:T/fin', '-VAL', 'ASP', '-COMP:T/fin', 'LF:be', '!COMP:*', '-COMP:V', 'V', '-SPEC:FORCE', '-COMP:N', 'SPEC:TO/inf', 'LANG:EN'}
istuuko         ['LANG:FI']
istuu-          {'SPEC:P', 'ARG', 'SPEC:D', 'PHI:PER:_', 'SPEC:ADV', '-COMP:v', 'COMP:P', 'LANG:FI', 'PHI:DET:_', '-SPEC:T/fin', '-COMP:D', 'ASP', '-COMP:T/fin', '-VAL', '-COMP:V', 'LF:sit', 'PF:istuu', 'V', 'CLASS:INTR', '-COMP:MA/inf', 'PHI:NUM:_', '-SPEC:FORCE', '-COMP:N', 'SPEC:TO/inf'}
John            ['LANG:EN']
John-           {'-adjoinable', 'LF:John', '-SPEC:V', '-SPEC:INF', '-COMP:WH', '-COMP:AUX', '-SEM:directional', '-COMP:v', 'COMP:P', '-SPEC:C/fin', 'COMP:R', 'SPEC:A', '-COMP:A', '-SPEC:T/fin', '-SPEC:R', '-SPEC:uWH', '-COMP:C/fin', '-SPEC:ADV', '-SPEC:P', '-COMP:V', 'N', 'COMP:C', 'COMP:uR', 'PF:John', '-SPEC:FORCE', '-SPEC:N', 'COMP:R/D', '-COMP:N', 'LANG:EN'}
joka            ['LANG:FI']
jota            ['LANG:FI']
joka-           {'PHI_N', 'LF:who', '-SPEC:V', '-SPEC:INF', '-COMP:WH', '-COMP:AUX', '-COMP:v', 'COMP:P', '-SPEC:C/fin', 'COMP:R', 'SPEC:A', 'LANG:FI', '-COMP:A', '-SPEC:T/fin', '-COMP:*', '-SPEC:R', '-SPEC:uWH', '-SPEC:ADV', '-SPEC:P', '-COMP:C/fin', '-COMP:V', 'N', 'COMP:C', 'COMP:uR', 'PF:joka', '-SPEC:FORCE', '-SPEC:N', 'COMP:R/D', '-COMP:N'}
Jukka           ['LANG:FI', '-SEM:directional', 'LANG:FI']
Jukkaa          ['LANG:FI', '-SEM:directional']
Jukka-          {'-SPEC:V', '-SPEC:INF', '-COMP:WH', '-COMP:AUX', '-SEM:directional', '-COMP:v', 'COMP:P', '-SPEC:C/fin', 'COMP:R', 'SPEC:A', 'LANG:FI', '-COMP:A', '-SPEC:T/fin', '-SPEC:R', '-SPEC:uWH', '-COMP:C/fin', '-SPEC:ADV', '-SPEC:P', '-COMP:V', 'N', 'COMP:C', 'COMP:uR', 'LF:Jukka', '-SPEC:FORCE', '-SPEC:N', 'COMP:R/D', '-COMP:N', 'PF:Jukka'}
juosten         ['LANG:FI']
juokse-         {'SPEC:P', 'ARG', 'PHI:PER:_', 'SPEC:ADV', '-COMP:v', 'COMP:P', 'LANG:FI', 'PHI:DET:_', '-SPEC:T/fin', '-VAL', 'PF:juokse-', 'ASP', '-COMP:T/fin', '-COMP:V', 'V', 'LF:run', 'PHI:NUM:_', '-SPEC:FORCE', '-COMP:N', 'SPEC:TO/inf'}
istuu           ['LANG:FI']
istu-           {'SPEC:P', 'ARG', 'PHI:PER:_', 'SPEC:ADV', '-COMP:v', 'COMP:P', 'LANG:FI', 'PHI:DET:_', '-SPEC:T/fin', '-VAL', 'ASP', '-COMP:T/fin', '-COMP:V', 'LF:sit', 'PF:istuu', 'V', 'PHI:NUM:_', '-SPEC:FORCE', '-COMP:N', 'SPEC:TO/inf'}
kaksi           {'PF:kaksi', 'ARG', 'PHI:PER:_', 'COMP:n', 'NUM', 'COMP:N', 'TAIL:ARG,VAL,FIN', 'PHI:NUM:_', 'LANG:FI', 'PHI:NUM:SG', 'PHI:DET:_', '-VAL', 'LF:two', 'SPEC:*'}
